"filename", "language", "JavaScript", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\lokar\backend\src\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdessamed\Desktop\lokar\backend\src\app.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Abdessamed\Desktop\lokar\backend\src\config\cors.config.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Abdessamed\Desktop\lokar\backend\src\config\db.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Abdessamed\Desktop\lokar\backend\src\config\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Abdessamed\Desktop\lokar\backend\src\dal\admin.dal.ts", "TypeScript", 0, 0, 0, 95, 0, 0, 0, 0, 1, 9, 105
"c:\Users\Abdessamed\Desktop\lokar\backend\src\dal\agency.dal.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Abdessamed\Desktop\lokar\backend\src\dal\booking.dal.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Abdessamed\Desktop\lokar\backend\src\dal\user.dal.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 2, 8, 62
"c:\Users\Abdessamed\Desktop\lokar\backend\src\dal\vehicle.dal.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\admin_panel\admin_panel.routes.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 2, 5, 28
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\admin_panel\controllers\agency_admin.controller.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\admin_panel\controllers\super_admin.controller.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\admin_panel\services\agency_admin.service.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\admin_panel\services\super_admin.service.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\agency\agency.controller.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\agency\agency.middleware.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\agency\agency.model.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 1, 3, 21
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\agency\agency.route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\agency\agency.schema.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 1, 9, 23
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\agency\agency.service.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\agency\agency.types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\authZ\authZ.middleware.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\authZ\authZ.service.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\authZ\rbac.config.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 1, 1, 44
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\auth\auth.middleware.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\auth\auth.route.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\auth\auth.service.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 6, 70
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\auth\login\login.controller.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 2, 7, 43
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\auth\login\login.route.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\auth\refresh\refresh.controller.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 2, 3, 29
