"filename", "language", "TypeScript", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\lokar\backend\src\app.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"c:\Users\Abdessamed\Desktop\lokar\backend\src\modules\admin_panel\controllers\agency_admin.controller.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\_metadata.json", "JSON", 0, -48, 0, 0, 0, -48
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\lucide-react.js", "JavaScript", 0, 0, -35394, -13371, -1673, -50438
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-BhPhf8gb.js", "JavaScript", 0, 0, -783, -16, -3, -802
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-dom-DBrcVFdG.js", "JavaScript", 0, 0, -169, -14, -3, -186
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-dom_client.js", "JavaScript", 0, 0, -14356, -27, -6, -14389
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react-router-dom.js", "JavaScript", 0, 0, -9521, -198, -10, -9729
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react.js", "JavaScript", 0, 0, -2, 0, -2, -4
"c:\Users\Abdessamed\Desktop\lokar\frontend\.vite\deps\react_jsx-dev-runtime.js", "JavaScript", 0, 0, -189, -14, -4, -207
"Total", "-", 21, -48, -60414, -13640, -1700, -75781
